model,type,rmse,direction_accuracy
catboost,Base,0.02925845005524933,0.4119804400977995
Manual Ensemble (Optimized),Ensemble,0.03152482405240714,0.39364303178484106
Manual Ensemble (Equal),Ensemble,0.03546453922459621,0.4058679706601467
randomforest,Base,0.03781228733017185,0.4339853300733496
xgboost,Base,0.03799610012286969,0.37286063569682154
lightgbm,Base,0.03903304955766405,0.39975550122249387
