,volume,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,RSI,MACD,MACD_signal,MACD_diff,BB_upper,BB_middle,BB_lower,BB_width,BB_position,ATR,ATR_percent,volume_sma,volume_ratio,OBV,ROC_5,ROC_10,ROC_20,volatility_20,volatility_60,price_vs_sma20,price_vs_sma50,price_vs_sma200,PE_ratio,forward_PE,earnings_yield,earnings_growth,dividend_yield,payout_ratio,price_to_book,price_to_sales,profit_margins,return_on_equity,sentiment_polarity,sentiment_subjectivity,sentiment_articles,sentiment_lag1,sentiment_lag3,sentiment_lag5,target_next_week
0,118944600.0,233.67843170166014,235.8484652709961,235.26160972595216,84.79639434814453,84.79639434814453,57.91936594372985,0.0,0.0,0.0,241.9988773417131,233.67843170166014,223.93359403050056,0.05271640245793026,0.6979095858075649,2.2673481735090064,1.0479185392633117,90859965.0,0.9431527951521085,0.0,0.42478873343172463,0.8005569992132977,1.6517503284403379,0.12338674993858095,0.12704367599269828,0.008583606851928738,0.019083653094173564,0.0656874720118073,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01235303681258415
1,111579900.0,233.67843170166014,235.8484652709961,235.26160972595216,84.83092616154597,84.8130207768193,57.91936594372985,0.017905384726674356,0.0035810769453348715,0.014324307781339484,241.9988773417131,233.67843170166014,223.93359403050056,0.05271640245793026,0.6979095858075649,2.2673481735090064,1.0479185392633117,90859965.0,0.9431527951521085,111579900.0,0.42478873343172463,0.8005569992132977,1.6517503284403379,0.12338674993858095,0.12704367599269828,0.008583606851928738,0.019083653094173564,0.0656874720118073,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0002634636332694562
2,116074400.0,233.67843170166014,235.8484652709961,235.26160972595216,84.86935230683999,84.83284857897765,57.91936594372985,0.03650372786233902,0.010165607128735701,0.026338120733603317,241.9988773417131,233.67843170166014,223.93359403050056,0.05271640245793026,0.6979095858075649,2.2673481735090064,1.0479185392633117,90859965.0,0.9431527951521085,227654300.0,0.42478873343172463,0.8005569992132977,1.6517503284403379,0.12338674993858095,0.12704367599269828,0.008583606851928738,0.019083653094173564,0.0656874720118073,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.008002817867092338
3,131091100.0,233.67843170166014,235.8484652709961,235.26160972595216,84.95711998642169,84.8778110712105,57.91936594372985,0.0793089152111861,0.023994268745225783,0.05531464646596032,241.9988773417131,233.67843170166014,223.93359403050056,0.05271640245793026,0.6979095858075649,2.2673481735090064,1.0479185392633117,90859965.0,0.9431527951521085,358745400.0,0.42478873343172463,0.8005569992132977,1.6517503284403379,0.12338674993858095,0.12704367599269828,0.008583606851928738,0.019083653094173564,0.0656874720118073,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.006480353960269358
4,126402800.0,233.67843170166014,235.8484652709961,235.26160972595216,85.07512485179191,84.94050296307107,57.91936594372985,0.13462188872084369,0.04611979274034937,0.08850209598049431,241.9988773417131,233.67843170166014,223.93359403050056,0.05271640245793026,0.6979095858075649,2.2673481735090064,1.0479185392633117,90859965.0,0.9431527951521085,485148200.0,0.42478873343172463,0.8005569992132977,1.6517503284403379,0.12338674993858095,0.12704367599269828,0.008583606851928738,0.019083653094173564,0.0656874720118073,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.00811700852507058
5,106375700.0,233.67843170166014,235.8484652709961,235.26160972595216,85.19339600214724,85.00742032351778,57.91936594372985,0.18597567862946107,0.07409096991817171,0.11188470871128936,241.9988773417131,233.67843170166014,223.93359403050056,0.05271640245793026,0.6979095858075649,2.2673481735090064,1.0479185392633117,90859965.0,0.9431527951521085,591523900.0,1.235303681258415,0.8005569992132977,1.6517503284403379,0.12338674993858095,0.12704367599269828,0.008583606851928738,0.019083653094173564,0.0656874720118073,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.002876624305773401
6,163333500.0,233.67843170166014,235.8484652709961,235.26160972595216,85.17029677683192,85.01007445048666,57.91936594372985,0.1602223263452629,0.09131724120358994,0.06890508514167296,241.9988773417131,233.67843170166014,223.93359403050056,0.05271640245793026,0.6979095858075649,2.2673481735090064,1.0479185392633117,90859965.0,0.9431527951521085,428190400.0,0.02634636332694562,0.8005569992132977,1.6517503284403379,0.12338674993858095,0.12704367599269828,0.008583606851928738,0.019083653094173564,0.0656874720118073,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.002024260080638385
7,161822000.0,233.67843170166014,235.8484652709961,235.26160972595216,85.26126364514984,85.06574163348012,57.91936594372985,0.19552201166972338,0.11215819529681664,0.08336381637290674,241.9988773417131,233.67843170166014,223.93359403050056,0.05271640245793026,0.6979095858075649,2.2673481735090064,1.0479185392633117,90859965.0,0.9431527951521085,590012400.0,0.8002817867092338,0.8005569992132977,1.6517503284403379,0.12338674993858095,0.12704367599269828,0.008583606851928738,0.019083653094173564,0.0656874720118073,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.025475533989944954
8,115718800.0,233.67843170166014,235.8484652709961,235.26160972595216,85.37391887574879,85.13446615278107,57.91936594372985,0.23945272296771236,0.1376171008309958,0.10183562213671657,241.9988773417131,233.67843170166014,223.93359403050056,0.05271640245793026,0.6979095858075649,2.2673481735090064,1.0479185392633117,90859965.0,0.9431527951521085,705731200.0,0.6480353960269358,0.8005569992132977,1.6517503284403379,0.12338674993858095,0.12704367599269828,0.008583606851928738,0.019083653094173564,0.0656874720118073,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.049769224483719454
9,212283100.0,233.67843170166014,235.8484652709961,235.26160972595216,85.32075103977121,85.12660406308576,57.91936594372985,0.19414697668544534,0.1489230760018857,0.04522390068355964,241.9988773417131,233.67843170166014,223.93359403050056,0.05271640245793026,0.6979095858075649,2.2673481735090064,1.0479185392633117,90859965.0,0.9431527951521085,493448100.0,-0.8117008525070579,0.8005569992132977,1.6517503284403379,0.12338674993858095,0.12704367599269828,0.008583606851928738,0.019083653094173564,0.0656874720118073,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.034054615264311305
