iter	RMSE
0	0.02243267747
1	0.02225163602
2	0.02209913281
3	0.02192201795
4	0.02184553304
5	0.02175804579
6	0.02159944639
7	0.02149679581
8	0.02133328915
9	0.02121009615
10	0.02102559817
11	0.02090780954
12	0.02082767591
13	0.02075136551
14	0.02070058277
15	0.02056680453
16	0.02050941158
17	0.02045374525
18	0.02035255343
19	0.0202441796
20	0.02015148848
21	0.02010990212
22	0.02003085389
23	0.01993089336
24	0.01982647766
25	0.01976456328
26	0.01967625367
27	0.0196158084
28	0.01955452875
29	0.01951382547
30	0.01946468958
31	0.0194225859
32	0.01936297942
33	0.019323648
34	0.01921409452
35	0.01914985955
36	0.0191016188
37	0.01904037058
38	0.018943862
39	0.0188717166
40	0.01882526826
41	0.01877522613
42	0.01870945148
43	0.01867678461
44	0.01862375606
45	0.01853435861
46	0.01847793804
47	0.01837214338
48	0.01829933638
49	0.01826093796
50	0.01821498138
51	0.01816509391
52	0.01812799178
53	0.01809453029
54	0.01804671957
55	0.01800801816
56	0.01794120686
57	0.0178857435
58	0.01783029428
59	0.01781048852
60	0.01778985938
61	0.01773157328
62	0.01770102463
63	0.01761575886
64	0.01758265231
65	0.01752609914
66	0.01744875356
67	0.0174213488
68	0.01737304306
69	0.01731419963
70	0.01728154481
71	0.01721181446
72	0.01714283251
73	0.01711177451
74	0.01704602618
75	0.0169975018
76	0.01696891664
77	0.01692163019
78	0.0168620135
79	0.01679558889
80	0.01675994076
81	0.01670345008
82	0.01665905571
83	0.01658904694
84	0.0165523227
85	0.01650458718
86	0.01647017821
87	0.0164232328
88	0.01639366416
89	0.01633334157
90	0.01628339005
91	0.01623818116
92	0.01618068385
93	0.01613661859
94	0.01607957186
95	0.01604696191
96	0.01599161416
97	0.01590721214
98	0.01587474201
99	0.0158019329
