model,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,total_return,volatility,rmse,direction_accuracy
lasso,-3.78315964289501,-3.224718317745466,-0.30519117272967317,-0.9998080722184636,0.6637298091042585,0.4557771668058517,-0.9926920755878726,0.10010522898281901,0.02297519909183825,0.5389133627019089
ridge,-6.937466378875319,-6.651805152433503,-0.9736446565555744,-1.0,0.32481644640234947,0.1610063839702398,-1.0,0.5038785022821193,0.04167153388021877,0.4390602055800294
lightgbm,-10.008626720173444,-14.128839835326346,-0.925304264396834,-0.9999999999999994,0.2669603524229075,0.1987304035646044,-0.9999999999999994,0.2565657290610248,0.02939997060166996,0.43612334801762115
xgboost,-10.221969298812338,-12.711644542513596,-0.9741509556770325,-1.0,0.2669603524229075,0.1716984063386917,-1.0,0.3508545319929915,0.034379066786934406,0.4452276064610866
catboost,-10.770255383744589,-13.94671968659277,-0.9350383934008877,-1.0,0.2889867841409692,0.16658275184273857,-0.9999999999999999,0.2513568919533253,0.029810633742968367,0.44493392070484583
extratrees,-15.123813921093497,-18.94045661259316,-0.982927002730812,-1.0,0.1920704845814978,0.07545167718859272,-1.0,0.2659143230456569,0.03302828877749701,0.413215859030837
randomforest,-15.319553450345474,-17.902533327341732,-0.9915058288045793,-1.0,0.16505139500734214,0.061874335432255165,-1.0,0.3065072759644245,0.03564766760901037,0.41644640234948604
