iter	RMSE
0	0.02220940527
1	0.02204630528
2	0.02190010404
3	0.02175756739
4	0.02164914363
5	0.02156657653
6	0.02143372637
7	0.02131227904
8	0.0212242669
9	0.02113285061
10	0.02100744356
11	0.02095494023
12	0.02087172849
13	0.02079711996
14	0.02073212205
15	0.02065612105
16	0.02060957002
17	0.0205076697
18	0.02038483423
19	0.02027015189
20	0.02018115006
21	0.0200776387
22	0.02001159622
23	0.01996920079
24	0.01992548277
25	0.01987797363
26	0.01983006987
27	0.01979484802
28	0.01971815789
29	0.01965392507
30	0.01958441044
31	0.01952005847
32	0.01947450176
33	0.01941815332
34	0.01935582311
35	0.01928631922
36	0.01921574497
37	0.01916943751
38	0.01906875792
39	0.01902272781
40	0.01898387416
41	0.01893042878
42	0.01888684968
43	0.01879868491
44	0.01867414477
45	0.01859727404
46	0.01852998812
47	0.01844107675
48	0.01838057667
49	0.01834769079
50	0.01830102406
51	0.01825116059
52	0.01817716288
53	0.01811347223
54	0.01804410412
55	0.0180017507
56	0.01796295166
57	0.01791775865
58	0.01787330223
59	0.01782209697
60	0.01778496798
61	0.01774063816
62	0.01769123817
63	0.01765185252
64	0.0175985943
65	0.01749316308
66	0.01745206653
67	0.01742016124
68	0.01738209721
69	0.01732750014
70	0.01731283316
71	0.01725422929
72	0.01721735536
73	0.01718489989
74	0.01715006987
75	0.01710087886
76	0.01706599731
77	0.01701315178
78	0.01698121828
79	0.01692766207
80	0.0168736614
81	0.0168470717
82	0.01680015298
83	0.01676554987
84	0.0167347966
85	0.01669896391
86	0.01665496629
87	0.01658186113
88	0.01654272587
89	0.01650371768
90	0.01645786513
91	0.01638034671
92	0.01633525439
93	0.01627180713
94	0.01622505545
95	0.01617205317
96	0.01613079774
97	0.0160604883
98	0.01600167604
99	0.01598234604
