iter	RMSE
0	0.02287418766
1	0.0226940819
2	0.02259724391
3	0.02245107629
4	0.02231704914
5	0.02220484684
6	0.02215084679
7	0.02205501725
8	0.02195204007
9	0.02186387316
10	0.02177167473
11	0.0216837779
12	0.02164112736
13	0.02159567345
14	0.02148449444
15	0.02143144354
16	0.02138288135
17	0.02131422294
18	0.02122572756
19	0.02117213777
20	0.02110109133
21	0.02102694158
22	0.02098120032
23	0.02088111348
24	0.020823783
25	0.0207822074
26	0.02069390794
27	0.02062637482
28	0.02060419569
29	0.02053640735
30	0.02049792965
31	0.02046082256
32	0.02039984892
33	0.02038104236
34	0.02035231828
35	0.02031144611
36	0.0202663399
37	0.02022588189
38	0.02017670314
39	0.02012036269
40	0.02008191254
41	0.02004885664
42	0.02001085571
43	0.01999059147
44	0.01994511535
45	0.01989071034
46	0.01983443651
47	0.01980430144
48	0.01974535346
49	0.01970556382
50	0.01966749007
51	0.01963096478
52	0.01960534002
53	0.019578575
54	0.01955134761
55	0.01949191301
56	0.01944906344
57	0.01942610234
58	0.01938954234
59	0.01936239468
60	0.01932781736
61	0.01930032166
62	0.01928057073
63	0.01923354991
64	0.01920129329
65	0.01916230562
66	0.01912105961
67	0.01907896669
68	0.01906085859
69	0.01902825311
70	0.01899962478
71	0.01896266867
72	0.01893556174
73	0.01891100255
74	0.01887951841
75	0.01883988728
76	0.01882279429
77	0.01879080783
78	0.01876518487
79	0.01873842911
80	0.0187035535
81	0.01867236345
82	0.01864876336
83	0.01860068964
84	0.01855891467
85	0.01853592218
86	0.01851971105
87	0.018496228
88	0.01846393991
89	0.01845108208
90	0.01843100316
91	0.01837608403
92	0.01836151232
93	0.01832875331
94	0.01830234441
95	0.01827931438
96	0.01823398077
97	0.01821436761
98	0.0181851012
99	0.01814622081
100	0.01811208617
101	0.01807079463
102	0.01803723359
103	0.01798946506
104	0.01796918845
105	0.01791756611
106	0.01787991337
107	0.01784946478
108	0.01781353189
109	0.01777228709
110	0.01775750947
111	0.01773139587
112	0.0177027633
113	0.01766133679
114	0.01764512689
115	0.01762743245
116	0.01760268905
117	0.01756644489
118	0.01751309118
119	0.01749587925
120	0.01746447617
121	0.01744194206
122	0.01742504478
123	0.01740109845
124	0.01739052094
125	0.01736206384
